"Internal Notes (Case)","Case Number","Case Count (SUM)"
" asking if their mom can give courier the device since she (merchant) will be on vaccation (churn question)","3056149","1"
" can we disable the possibility of paying with the business card because of high fees- no","2653306","1"
" did not use terminal and has a negative balance ","3505554","1"
" if they can buy from us terminal even if they don't have contract with us","3469418","1"
" needs to explain poscom/GP/teya/papaya","3495970","1"
" question about deposit for terminals from colours festival - colours deal with it","3079979","1"
" received email about PT swap but his wife is owner and she is abroad asking what should he do ","3535431","1"
"Access, product Storyous functionality, set up","3470888","1"
"Account number question","3517411","1"
"Account questions","3463969","1"
"Address is different - V3 migration e-mail","3525534","1"
"Address of company, negative balance etc.","3472118","1"
"All kinds of onboarding questions

","3545820","1"
"Am I churned? Yes","3470258","1"
"Amex question","2615809","1"
"Another department will answer
We are in CC - Sent to Helena and Bjorgvin - Will close","3489347","1"
"Answering an email from us since Purple Rain :) - Asking what SaltPay is","2620599","1"
"Asking about MPA and what we are charging her.

","2530789","1"
"Asking about a case in progress","3277080","1"
"Asking about a new MID - Told to have the merchant call us regarding a new MID","3474263","1"
"Asking about a sponsorship - Told to send us an email","3501934","1"
"Asking about a status of a email they sent us","3535002","1"
"Asking about an email we sent him","3525672","1"
"Asking about changing the mid so that the settlements would be paid out in another currency","2674051","1"
"Asking about churn","3485939","1"
"Asking about email he received last week from us

","3513353","1"
"Asking about his MIDs and which terminals are connected to which MIds - Also thinking about creating new MID","2527327","1"
"Asking about how to return device","3465882","1"
"Asking about new V3","3493585","1"
"Asking about ongoing case","3054624","1"
"Asking about our HW","3245120","1"
"Asking about our PAX product","3502120","1"
"Asking about our email - sent to .is not .com","2522892","1"
"Asking about our email to give to the police to find a person who vandalized their property","3489309","1"
"Asking about our price and products","3537276","1"
"Asking about our products and pricing","3505533","1"
"Asking about our terminals","2520322","1"
"Asking about recurring payments - Info","3508859","1"
"Asking about the location for our offices","2673951","1"
"Asking about the location of the office","2525674","1"
"Asking about the price for the PAX terminal","2703922","1"
"Asking about training options etc.","3543391","1"
"Asking for Arna","2518663","1"
"Asking for Atli Páll","2580713","1"
"Asking for Elfur","2799733","1"
"Asking for Elísabet

","2579359","1"
"Asking for Fannar","3494874","1"
"Asking for Guðleif","2713940","1"
"Asking for Hrafn","3500772","1"
"Asking for Jónína","2531556","1"
"Asking for Kelly","3477727","1"
